,Year,GDP,GDP_Growth_Raw,Inflation,Unemployment,Country,GDP_Growth,Unemployment_Change,Condition,Contradiction,Insight,Economic_Score,GDP_Predicted,Condition_Summary
0,1992,319.18,5.48,11.79,7.641,India,,,Inflation Risk,No Contradiction,1992: Inflation Risk with No Contradiction,,,Stable economy with no major risks
1,1993,302.88,4.75,6.33,7.649,India,-5.11,0.01,Recession Signal,No Contradiction,1993: Recession Signal with No Contradiction,-14.93,,Severe recession detected due to GDP collapse
2,1994,347.73,6.66,10.25,7.662,India,14.81,0.01,Inflation Risk,Jobless Growth,1994: Inflation Risk with Jobless Growth,17.07,323.2633333333333,Stable economy with no major risks
3,1995,375.18,7.57,10.22,7.593,India,7.89,-0.07,Healthy Growth,No Contradiction,1995: Healthy Growth with No Contradiction,3.69,341.93,"Strong growth with improving jobs, healthy economy"
4,1996,401.05,7.55,8.98,7.57,India,6.9,-0.02,Healthy Growth,No Contradiction,1996: Healthy Growth with No Contradiction,3.94,374.65333333333336,"Strong growth with improving jobs, healthy economy"
5,1997,416.23,4.05,7.16,7.537,India,3.79,-0.03,Healthy Growth,No Contradiction,1997: Healthy Growth with No Contradiction,1.41,397.4866666666667,"Strong growth with improving jobs, healthy economy"
6,1998,413.63,6.18,13.23,7.574,India,-0.62,0.04,Stagflation Risk,No Contradiction,1998: Stagflation Risk with No Contradiction,-19.9,410.30333333333334,"High inflation with weak growth, stagflation risk"
7,1999,441.93,8.85,4.67,7.596,India,6.84,0.02,Stable,Jobless Growth,1999: Stable with Jobless Growth,12.24,423.93,Stable economy with no major risks
8,2000,442.75,3.84,4.01,7.583,India,0.19,-0.01,Stable,No Contradiction,2000: Stable with No Contradiction,0.41,432.77,Stable economy with no major risks
9,2001,450.36,4.82,3.78,7.589,India,1.72,0.01,Stable,No Contradiction,2001: Stable with No Contradiction,3.39,445.0133333333333,Stable economy with no major risks
10,2002,469.15,3.8,4.3,7.611,India,4.17,0.02,Stable,Jobless Growth,2002: Stable with Jobless Growth,7.64,454.08666666666664,Stable economy with no major risks
11,2003,544.14,7.86,3.81,7.681,India,15.98,0.07,Stable,Jobless Growth,2003: Stable with Jobless Growth,31.61,487.8833333333334,Stable economy with no major risks
12,2004,624.26,7.92,3.77,7.633,India,14.72,-0.05,Healthy Growth,No Contradiction,2004: Healthy Growth with No Contradiction,29.69,545.85,"Strong growth with improving jobs, healthy economy"
13,2005,710.49,7.92,4.25,7.598,India,13.81,-0.04,Healthy Growth,No Contradiction,2005: Healthy Growth with No Contradiction,27.32,626.2966666666667,"Strong growth with improving jobs, healthy economy"
14,2006,801.67,8.06,5.8,7.551,India,12.83,-0.05,Healthy Growth,No Contradiction,2006: Healthy Growth with No Contradiction,22.31,712.14,"Strong growth with improving jobs, healthy economy"
15,2007,1021.89,7.66,6.37,7.553,India,27.47,0.0,Stable,No Contradiction,2007: Stable with No Contradiction,50.2,844.6833333333334,Stable economy with no major risks
16,2008,992.52,3.09,8.35,7.562,India,-2.87,0.01,Recession Signal,No Contradiction,2008: Recession Signal with No Contradiction,-14.49,938.6933333333333,Severe recession detected due to GDP collapse
17,2009,1094.95,7.86,10.88,7.629,India,10.32,0.07,Inflation Risk,Jobless Growth,2009: Inflation Risk with Jobless Growth,6.53,1036.4533333333331,Stable economy with no major risks
18,2010,1347.52,8.5,11.99,7.636,India,23.07,0.01,Inflation Risk,Jobless Growth,2010: Inflation Risk with Jobless Growth,30.11,1144.9966666666667,Stable economy with no major risks
19,2011,1445.46,5.24,8.91,7.631,India,7.27,-0.0,Inflation Risk,No Contradiction,2011: Inflation Risk with No Contradiction,4.72,1295.9766666666667,Stable economy with no major risks
20,2012,1429.32,5.46,9.48,7.609,India,-1.12,-0.02,Stagflation Risk,Data Contradiction / Lag Effect,2012: Stagflation Risk with Data Contradiction / Lag Effect,-13.1,1407.4333333333334,"High inflation with weak growth, stagflation risk"
21,2013,1432.84,6.39,10.02,7.645,India,0.25,0.04,Stagflation Risk,No Contradiction,2013: Stagflation Risk with No Contradiction,-11.74,1435.8733333333332,"High inflation with weak growth, stagflation risk"
22,2014,1553.88,7.41,6.67,7.678,India,8.45,0.03,Stable,Jobless Growth,2014: Stable with Jobless Growth,11.41,1472.0133333333333,Stable economy with no major risks
23,2015,1584.0,8.0,4.91,7.656,India,1.94,-0.02,Stable,No Contradiction,2015: Stable with No Contradiction,2.16,1523.5733333333335,Stable economy with no major risks
24,2016,1707.51,8.26,4.95,7.629,India,7.8,-0.03,Healthy Growth,No Contradiction,2016: Healthy Growth with No Contradiction,13.85,1615.1299999999999,"Strong growth with improving jobs, healthy economy"
25,2017,1950.1,6.8,3.33,7.611,India,14.21,-0.02,Healthy Growth,No Contradiction,2017: Healthy Growth with No Contradiction,28.52,1747.2033333333331,"Strong growth with improving jobs, healthy economy"
26,2018,1966.25,6.45,3.94,7.626,India,0.83,0.02,Stable,No Contradiction,2018: Stable with No Contradiction,1.56,1874.62,Stable economy with no major risks
27,2019,2041.43,3.87,3.73,7.652,India,3.82,0.03,Stable,Jobless Growth,2019: Stable with Jobless Growth,7.49,1985.9266666666665,Stable economy with no major risks
28,2020,1907.04,-5.78,6.62,6.51,India,-6.58,-1.14,Recession Signal,Data Contradiction / Lag Effect,2020: Recession Signal with Data Contradiction / Lag Effect,-12.7,1971.5733333333335,Severe recession detected due to GDP collapse
29,2021,2239.61,9.05,5.13,7.859,India,17.44,1.35,Stable,Jobless Growth,2021: Stable with Jobless Growth,25.87,2062.693333333333,Stable economy with no major risks
30,2022,2347.45,7.24,6.7,6.38,India,4.82,-1.48,Healthy Growth,No Contradiction,2022: Healthy Growth with No Contradiction,11.64,2164.7,"Strong growth with improving jobs, healthy economy"
31,2023,2530.12,8.15,5.65,4.822,India,7.78,-1.56,Healthy Growth,No Contradiction,2023: Healthy Growth with No Contradiction,20.06,2372.393333333333,"Strong growth with improving jobs, healthy economy"
32,2024,3912.69,6.5,4.95,4.202,India,54.64,-0.62,Healthy Growth,No Contradiction,2024: Healthy Growth with No Contradiction,110.48,2930.0866666666666,"Strong growth with improving jobs, healthy economy"
33,2025,4125.0,6.65,4.85,4.1,India,5.43,-0.1,Healthy Growth,No Contradiction,2025: Healthy Growth with No Contradiction,9.66,3522.603333333334,"Strong growth with improving jobs, healthy economy"
34,1992,428.5,13.93,18.25,2.37,China,,,Inflation Risk,No Contradiction,1992: Inflation Risk with No Contradiction,,,Stable economy with no major risks
35,1993,446.56,13.07,3.05,2.37,China,4.21,0.0,Stable,No Contradiction,1993: Stable with No Contradiction,8.42,,Stable economy with no major risks
36,1994,566.93,11.03,3.56,2.69,China,26.95,0.32,Stable,Jobless Growth,1994: Stable with Jobless Growth,52.3,480.66333333333336,Stable economy with no major risks
37,1995,738.19,9.98,6.35,2.9,China,30.21,0.21,Stable,Jobless Growth,1995: Stable with Jobless Growth,54.67,583.8933333333333,Stable economy with no major risks
38,1996,868.0,9.29,14.61,3.0,China,17.58,0.1,Inflation Risk,Jobless Growth,1996: Inflation Risk with Jobless Growth,13.44,724.3733333333333,Stable economy with no major risks
39,1997,961.6,7.92,24.26,3.12,China,10.78,0.12,Inflation Risk,Jobless Growth,1997: Inflation Risk with Jobless Growth,-19.56,855.93,Stable economy with no major risks
40,1998,1029.04,7.74,16.79,3.23,China,7.01,0.11,Inflation Risk,Jobless Growth,1998: Inflation Risk with Jobless Growth,-12.11,952.88,Stable economy with no major risks
41,1999,1094.0,8.59,8.31,3.24,China,6.31,0.01,Inflation Risk,Jobless Growth,1999: Inflation Risk with Jobless Growth,3.95,1028.2133333333334,Stable economy with no major risks
42,2000,1211.35,8.31,2.79,3.25,China,10.73,0.01,Stable,Jobless Growth,2000: Stable with Jobless Growth,21.41,1111.4633333333334,Stable economy with no major risks
43,2001,1339.4,9.24,-0.77,3.26,China,10.57,0.01,Stable,Jobless Growth,2001: Stable with Jobless Growth,21.09,1214.9166666666667,Stable economy with no major risks
44,2002,1470.55,10.12,-1.4,3.8,China,9.79,0.54,Stable,Jobless Growth,2002: Stable with Jobless Growth,16.88,1340.4333333333334,Stable economy with no major risks
45,2003,1660.29,10.13,0.35,4.24,China,12.9,0.44,Stable,Jobless Growth,2003: Stable with Jobless Growth,23.6,1490.08,Stable economy with no major risks
46,2004,1955.35,11.46,0.72,4.58,China,17.77,0.34,Stable,Jobless Growth,2004: Stable with Jobless Growth,33.84,1695.3966666666665,Stable economy with no major risks
47,2005,2285.97,12.67,-0.73,4.49,China,16.91,-0.09,Healthy Growth,No Contradiction,2005: Healthy Growth with No Contradiction,34.27,1967.2033333333331,"Strong growth with improving jobs, healthy economy"
48,2006,2752.13,14.15,1.13,4.52,China,20.39,0.03,Stable,Jobless Growth,2006: Stable with Jobless Growth,40.63,2331.15,Stable economy with no major risks
49,2007,3550.34,9.67,3.82,4.43,China,29.0,-0.09,Healthy Growth,No Contradiction,2007: Healthy Growth with No Contradiction,58.45,2862.8133333333335,"Strong growth with improving jobs, healthy economy"
50,2008,4594.31,9.4,1.78,4.35,China,29.4,-0.08,Healthy Growth,No Contradiction,2008: Healthy Growth with No Contradiction,59.2,3632.26,"Strong growth with improving jobs, healthy economy"
51,2009,5101.7,10.6,1.65,4.59,China,11.04,0.24,Stable,Jobless Growth,2009: Stable with Jobless Growth,20.88,4415.45,Stable economy with no major risks
52,2010,6087.16,9.46,4.82,4.72,China,19.32,0.13,Stable,Jobless Growth,2010: Stable with Jobless Growth,36.35,5261.056666666666,Stable economy with no major risks
53,2011,7551.5,7.86,5.93,4.53,China,24.06,-0.19,Healthy Growth,No Contradiction,2011: Healthy Growth with No Contradiction,45.21,6246.786666666667,"Strong growth with improving jobs, healthy economy"
54,2012,8532.23,7.78,-0.73,4.55,China,12.99,0.02,Stable,Jobless Growth,2012: Stable with Jobless Growth,25.88,7390.296666666666,Stable economy with no major risks
55,2013,9570.47,7.46,3.18,4.58,China,12.17,0.03,Stable,Jobless Growth,2013: Stable with Jobless Growth,24.19,8551.4,Stable economy with no major risks
56,2014,10476.37,6.98,5.55,4.6,China,9.47,0.02,Stable,Jobless Growth,2014: Stable with Jobless Growth,15.74,9526.356666666667,Stable economy with no major risks
57,2015,11015.54,6.78,2.62,4.63,China,5.15,0.03,Stable,Jobless Growth,2015: Stable with Jobless Growth,10.15,10354.126666666667,Stable economy with no major risks
58,2016,11233.28,6.89,2.62,4.65,China,1.98,0.02,Stable,No Contradiction,2016: Stable with No Contradiction,3.86,10908.396666666667,Stable economy with no major risks
59,2017,12310.41,6.76,1.92,4.56,China,9.59,-0.09,Healthy Growth,No Contradiction,2017: Healthy Growth with No Contradiction,19.63,11519.743333333334,"Strong growth with improving jobs, healthy economy"
60,2018,13894.82,6.07,1.44,4.47,China,12.87,-0.09,Healthy Growth,No Contradiction,2018: Healthy Growth with No Contradiction,26.19,12479.503333333334,"Strong growth with improving jobs, healthy economy"
61,2019,14279.94,2.34,2.0,4.31,China,2.77,-0.16,Stable,No Contradiction,2019: Stable with No Contradiction,6.34,13495.056666666665,Stable economy with no major risks
62,2020,14687.75,8.57,1.59,4.56,China,2.86,0.25,Stable,No Contradiction,2020: Stable with No Contradiction,4.47,14287.503333333332,Stable economy with no major risks
63,2021,17734.06,3.13,2.07,5.0,China,20.74,0.44,Stable,Jobless Growth,2021: Stable with Jobless Growth,39.28,15567.25,Stable economy with no major risks
64,2022,17963.17,5.41,2.9,4.55,China,1.29,-0.45,Stable,No Contradiction,2022: Stable with No Contradiction,4.83,16794.993333333332,Stable economy with no major risks
65,2023,18270.36,4.98,2.42,4.98,China,1.71,0.43,Stable,No Contradiction,2023: Stable with No Contradiction,1.27,17989.196666666667,Stable economy with no major risks
66,2024,18749.76,,0.98,4.67,China,2.62,-0.31,Stable,No Contradiction,2024: Stable with No Contradiction,6.79,18327.763333333332,Stable economy with no major risks
67,1992,6520.33,3.52,3.01,7.49,USA,,,Stable,No Contradiction,1992: Stable with No Contradiction,,,Stable economy with no major risks
68,1993,6858.56,2.75,2.99,6.91,USA,5.19,-0.58,Healthy Growth,No Contradiction,1993: Healthy Growth with No Contradiction,13.28,,"Strong growth with improving jobs, healthy economy"
69,1994,7287.24,4.03,2.56,6.1,USA,6.25,-0.81,Healthy Growth,No Contradiction,1994: Healthy Growth with No Contradiction,16.55,6888.71,"Strong growth with improving jobs, healthy economy"
70,1995,7639.75,2.68,2.83,5.59,USA,4.84,-0.51,Healthy Growth,No Contradiction,1995: Healthy Growth with No Contradiction,12.23,7261.849999999999,"Strong growth with improving jobs, healthy economy"
71,1996,8073.12,3.77,2.95,5.4,USA,5.67,-0.19,Healthy Growth,No Contradiction,1996: Healthy Growth with No Contradiction,12.29,7666.703333333334,"Strong growth with improving jobs, healthy economy"
72,1997,8577.55,4.45,2.34,4.94,USA,6.25,-0.46,Healthy Growth,No Contradiction,1997: Healthy Growth with No Contradiction,14.8,8096.806666666666,"Strong growth with improving jobs, healthy economy"
73,1998,9062.82,4.48,1.55,4.5,USA,5.66,-0.44,Healthy Growth,No Contradiction,1998: Healthy Growth with No Contradiction,13.52,8571.163333333332,"Strong growth with improving jobs, healthy economy"
74,1999,9630.66,4.79,2.19,4.22,USA,6.27,-0.28,Healthy Growth,No Contradiction,1999: Healthy Growth with No Contradiction,13.94,9090.343333333332,"Strong growth with improving jobs, healthy economy"
75,2000,10252.35,4.08,3.37,3.97,USA,6.46,-0.25,Healthy Growth,No Contradiction,2000: Healthy Growth with No Contradiction,14.17,9648.61,"Strong growth with improving jobs, healthy economy"
76,2001,10581.82,0.96,2.83,4.74,USA,3.21,0.77,Stable,Jobless Growth,2001: Stable with Jobless Growth,2.57,10154.943333333335,Stable economy with no major risks
77,2002,10929.11,1.7,1.59,5.78,USA,3.28,1.04,Stable,Jobless Growth,2002: Stable with Jobless Growth,1.36,10587.76,Stable economy with no major risks
78,2003,11456.45,2.8,2.27,5.99,USA,4.83,0.21,Stable,Jobless Growth,2003: Stable with Jobless Growth,8.61,10989.126666666669,Stable economy with no major risks
79,2004,12217.2,3.85,2.68,5.54,USA,6.64,-0.45,Healthy Growth,No Contradiction,2004: Healthy Growth with No Contradiction,15.53,11534.253333333334,"Strong growth with improving jobs, healthy economy"
80,2005,13039.2,3.48,3.39,5.08,USA,6.73,-0.46,Healthy Growth,No Contradiction,2005: Healthy Growth with No Contradiction,15.76,12237.616666666669,"Strong growth with improving jobs, healthy economy"
81,2006,13815.6,2.78,3.23,4.63,USA,5.95,-0.45,Healthy Growth,No Contradiction,2006: Healthy Growth with No Contradiction,14.15,13024.0,"Strong growth with improving jobs, healthy economy"
82,2007,14474.23,2.0,2.85,4.61,USA,4.77,-0.02,Healthy Growth,No Contradiction,2007: Healthy Growth with No Contradiction,9.64,13776.343333333332,"Strong growth with improving jobs, healthy economy"
83,2008,14769.85,0.11,3.84,5.8,USA,2.04,1.19,Stable,No Contradiction,2008: Stable with No Contradiction,-1.87,14353.226666666667,Stable economy with no major risks
84,2009,14478.06,-2.58,-0.36,9.28,USA,-1.98,3.48,Stable,No Contradiction,2009: Stable with No Contradiction,-21.36,14574.046666666667,Stable economy with no major risks
85,2010,15048.97,2.7,1.64,9.63,USA,3.94,0.35,Stable,Jobless Growth,2010: Stable with Jobless Growth,6.13,14765.626666666665,Stable economy with no major risks
86,2011,15599.73,1.56,3.16,8.95,USA,3.66,-0.68,Healthy Growth,No Contradiction,2011: Healthy Growth with No Contradiction,10.72,15042.253333333332,"Strong growth with improving jobs, healthy economy"
87,2012,16253.97,2.29,2.07,8.08,USA,4.19,-0.87,Healthy Growth,No Contradiction,2012: Healthy Growth with No Contradiction,12.73,15634.223333333333,"Strong growth with improving jobs, healthy economy"
88,2013,16843.16,2.12,1.46,7.38,USA,3.62,-0.7,Healthy Growth,No Contradiction,2013: Healthy Growth with No Contradiction,10.74,16232.286666666667,"Strong growth with improving jobs, healthy economy"
89,2014,17550.69,2.52,1.62,6.17,USA,4.2,-1.21,Healthy Growth,No Contradiction,2014: Healthy Growth with No Contradiction,14.45,16882.60666666667,"Strong growth with improving jobs, healthy economy"
90,2015,18206.02,2.95,0.12,5.28,USA,3.73,-0.89,Healthy Growth,No Contradiction,2015: Healthy Growth with No Contradiction,11.91,17533.29,"Strong growth with improving jobs, healthy economy"
91,2016,18695.1,1.82,1.26,4.87,USA,2.69,-0.41,Stable,No Contradiction,2016: Stable with No Contradiction,7.43,18150.603333333333,Stable economy with no major risks
92,2017,19477.33,2.46,2.13,4.35,USA,4.18,-0.52,Healthy Growth,No Contradiction,2017: Healthy Growth with No Contradiction,10.96,18792.816666666666,"Strong growth with improving jobs, healthy economy"
93,2018,20533.06,2.97,2.44,3.89,USA,5.42,-0.46,Healthy Growth,No Contradiction,2018: Healthy Growth with No Contradiction,13.14,19568.49666666667,"Strong growth with improving jobs, healthy economy"
94,2019,21380.98,2.58,1.81,3.67,USA,4.13,-0.22,Healthy Growth,No Contradiction,2019: Healthy Growth with No Contradiction,9.36,20463.79,"Strong growth with improving jobs, healthy economy"
95,2020,21060.47,-2.16,1.23,8.05,USA,-1.5,4.38,Stable,No Contradiction,2020: Stable with No Contradiction,-24.9,20991.503333333334,Stable economy with no major risks
96,2021,23315.08,6.06,4.7,5.35,USA,10.71,-2.7,Healthy Growth,No Contradiction,2021: Healthy Growth with No Contradiction,33.52,21918.843333333334,"Strong growth with improving jobs, healthy economy"
97,2022,25744.1,2.51,8.0,3.61,USA,10.42,-1.74,Healthy Growth,No Contradiction,2022: Healthy Growth with No Contradiction,21.54,23373.216666666664,"Strong growth with improving jobs, healthy economy"
98,2023,27360.94,2.89,4.12,3.54,USA,6.28,-0.07,Healthy Growth,No Contradiction,2023: Healthy Growth with No Contradiction,12.67,25473.373333333333,"Strong growth with improving jobs, healthy economy"
99,2024,29184.89,2.79,2.95,4.05,USA,6.67,0.51,Stable,Jobless Growth,2024: Stable with Jobless Growth,10.79,27429.976666666666,Stable economy with no major risks
100,2025,30615.74,2.02,2.7,4.2,USA,4.9,0.15,Stable,Jobless Growth,2025: Stable with Jobless Growth,9.05,29053.85666666667,Stable economy with no major risks
